species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
PIGL	p	1200	NE	A2-9	4	1.545	0.020852381	0.382380952	0.054533001
PIGL	p	1200	NE	A2-9	5	4.35	0.062392857	0.570714286	0.109324155
PIGL	p	1200	NE	A2-9	5	4.066666667	0.030809524	0.674761905	0.045659845
PIGL	p	1200	NE	A2-9	6	5.75	0.089	0.805714286	0.110460993
PIGL	p	1200	NE	A2-9	6	4.155555556	0.043650794	0.900634921	0.04846669
PIGL	p	50	NU	A2-9	1	0.160416667	0.036214286	0.577142857	0.062747525
PIGL	p	50	NU	A2-9	1	1.486296296	0.000931217	0.096878307	0.009612234
PIGL	p	50	NU	A2-9	2	0.971666667	0.031357143	0.461428571	0.067956656
PIGL	p	50	NU	A2-9	2	0.333765432	0	0	0
PIGL	p	50	NU	A2-9	3	0.219722222	0.026327143	0.313719048	0.083919491
PIGL	p	50	NU	A2-9	3	0.393477366	0	0	0
PIGL	p	50	NU	A2-9	4	0.376666667	0	0	0
